step,H_B_biased,H_A_biased,S_B_biased,S_A_biased,H_Gini_biased,S_Gini_biased,H_B_unbiased,H_A_unbiased,S_B_unbiased,S_A_unbiased,H_Gini_unbiased,S_Gini_unbiased
13,7.378645833333333,7.8305074257425735,10.164499999999997,11.482937499999997,-0.03647700726392258,-0.0017127281235377035,7.597135416666667,7.778403465346535,11.248999999999997,11.224062499999995,-0.030605131979957664,-0.0024124681072753766
14,7.392708333333334,7.836386138613861,10.142999999999995,11.596937499999994,-0.03401340437609662,-0.0011945113942411628,7.604947916666667,7.7859529702970285,11.302749999999996,11.321437499999996,-0.028917741769016406,-0.002195742067734611
15,7.4260416666666655,7.837252475247524,10.118249999999996,11.711999999999996,-0.03283179304744601,-0.0010956992078642407,7.642447916666666,7.785829207920792,11.326499999999996,11.425312499999995,-0.026786422283232164,-0.0024125075073100468
16,7.446354166666666,7.840594059405939,10.117999999999997,11.818187499999997,-0.0319302309108939,-0.0010936714540235308,7.658333333333332,7.791274752475248,11.437749999999996,11.506374999999998,-0.025748024981489218,-0.0022239061487124142
17,7.451041666666666,7.847153465346533,10.135749999999996,11.920124999999995,-0.030319710208336074,-0.0015619203078718821,7.6765625,7.795358910891089,11.471249999999996,11.606374999999996,-0.023752909276878252,-0.0023510494975970166
18,7.461197916666666,7.852289603960395,10.175249999999997,12.016749999999996,-0.02861536285552643,-0.0016997733604041828,7.709895833333332,7.796658415841584,11.490249999999996,11.709749999999994,-0.023596343187660674,-0.0021663895044081987
19,7.502864583333332,7.849938118811881,10.175749999999995,12.122624999999996,-0.026885395654799454,-0.0013400869324355763,7.706510416666666,7.805878712871286,11.587499999999995,11.793187499999995,-0.023318063903015374,-0.002365759590879961
20,7.514062499999999,7.8547648514851485,10.179499999999994,12.228374999999996,-0.025712623646388984,-0.0018835395055252135,7.7296875,7.808044554455445,11.676249999999996,11.881187499999996,-0.02172232131399978,-0.0021701111467711544
21,7.533333333333332,7.858168316831683,10.198999999999995,12.331374999999996,-0.024356121244772884,-0.002580819662491869,7.747395833333333,7.811695544554455,11.721249999999996,11.981187499999997,-0.020430641656035423,-0.0027558302317004135
22,7.5359375,7.865346534653465,10.185249999999995,12.441812499999996,-0.023756366875584817,-0.0023100579625536114,7.782291666666667,7.810767326732674,11.727749999999997,12.091124999999995,-0.01874982383764872,-0.0023426128161285133
23,7.546875,7.870420792079207,10.304749999999995,12.520437499999996,-0.022432731836635376,-0.0026186357878002775,7.770312499999999,7.820420792079207,11.796499999999996,12.186499999999997,-0.01840355661391919,-0.001816760953049473
24,7.55390625,7.876175742574257,10.308499999999995,12.628624999999998,-0.02175162202628517,-0.001830121828913382,7.773437499999999,7.826237623762374,11.921999999999993,12.268374999999997,-0.017484250457389196,-0.001709003123181242
25,7.549739583333333,7.884220297029701,10.284749999999995,12.742437499999996,-0.02139996163682864,-0.0026548376037679178,7.776041666666667,7.831806930693069,11.960999999999995,12.370999999999995,-0.017457026505223013,-0.0021874359183009125
26,7.564322916666666,7.887809405940593,10.275999999999994,12.854374999999996,-0.020217162681932632,-0.002711853760931093,7.809635416666666,7.830136138613861,12.071999999999994,12.455437499999995,-0.016466976310342135,-0.0016346783802887942
27,7.605208333333333,7.884653465346534,10.304499999999994,12.955937499999997,-0.020327320904099066,-0.0031052238715881925,7.813541666666666,7.835210396039605,12.140249999999996,12.549999999999995,-0.015553868893698803,-0.001764500062158804
28,7.607812499999999,7.890594059405941,10.378999999999994,13.045874999999997,-0.01910213366001813,-0.002945862137862109,7.8203125,7.8396039603960395,12.207249999999995,12.645499999999995,-0.01588043492132365,-0.0018578558431578513
29,7.6291666666666655,7.892017326732672,10.459999999999996,13.134062499999995,-0.019556729855704544,-0.002627836974423037,7.814583333333334,7.8464727722772265,12.232749999999996,12.749187499999994,-0.015636856135249073,-0.0018208747499189172
30,7.629166666666666,7.898205445544554,10.486249999999993,13.236874999999996,-0.020025479350797494,-0.002272183577354327,7.828125,7.848824257425743,12.338999999999997,12.834062499999995,-0.015322756330586293,-0.001025859733569951
31,7.628645833333333,7.904084158415841,10.469999999999995,13.351312499999997,-0.018121631088241295,-0.002835501622302871,7.841927083333331,7.851113861386138,12.384499999999994,12.935187499999998,-0.014962796282494712,-0.0012322817454902858
32,7.641666666666666,7.907673267326732,10.497999999999992,13.454562499999998,-0.01776447827304428,-0.002235012535712233,7.853385416666666,7.854207920792078,12.514999999999995,13.014999999999995,-0.015475172044995914,-0.0009896980255516988
33,7.646354166666666,7.912747524752476,10.560749999999993,13.549124999999998,-0.018051974152844225,-0.0026119102494315243,7.853645833333332,7.85983910891089,12.599749999999995,13.107187499999995,-0.015562052642629502,-0.0006625556486771186
